,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
15,1,20,15,-6540.88,-29.5224,0.0006922260000000001,1.7691700000000001,45
0,1,0,0,-6515.41,-29.6612,0.00026099,1.9143299999999999,32
1,1,1,1,-6523.08,-29.5695,0.00026099,1.86749,32
2,1,2,2,-6524.18,-29.79,0.00047605900000000003,2.02199,32
3,1,5,3,-6522.92,-29.6643,0.00052198,1.86487,32
4,1,7,4,-6525.82,-30.2805,0.00052198,2.09654,32
5,1,8,5,-6526.58,-29.9744,0.00026099,1.84133,32
6,1,9,6,-6527.5,-29.5436,0.00026905099999999997,1.59961,32
7,1,13,7,-6526.68,-29.7252,0.00034481400000000004,1.7502900000000001,32
8,1,15,8,-6523.74,-29.3518,0.0,1.9641400000000002,32
9,1,17,9,-6526.46,-30.0935,0.00026099,2.06086,32
10,1,18,10,-6527.1,-29.8104,0.0,1.7765900000000001,32
11,1,19,11,-6527.93,-29.8512,0.0,2.01575,32
12,1,20,12,-6527.61,-30.3931,0.0,1.79529,32
0,1,0,0,-6546.49,-29.843000000000004,0.00060442,1.8730799999999999,5
1,1,1,1,-6548.16,-29.9394,0.000344026,1.83538,5
2,1,2,2,-6546.46,-29.8377,0.000344026,1.90793,5
3,1,3,3,-6546.61,-29.8796,0.000344026,1.8748099999999999,5
4,1,5,4,-6549.4,-29.9084,0.000688053,1.89828,5
5,1,6,5,-6549.37,-29.9334,0.000344026,1.8998099999999998,5
6,1,7,6,-6550.2,-30.0869,0.0,1.75479,5
7,1,8,7,-6549.16,-29.8283,0.000260394,2.13845,5
8,1,9,8,-6553.14,-29.8975,0.000344026,1.9292599999999998,5
9,1,10,9,-6550.15,-29.8371,0.0,2.1052299999999997,5
10,1,11,10,-6551.51,-29.4492,0.000344026,1.94688,5
11,1,12,11,-6550.59,-30.1644,0.0,1.9960900000000001,5
12,1,13,12,-6549.74,-29.5109,0.000688053,1.75578,5
13,1,14,13,-6546.84,-28.9694,0.00137611,1.6433200000000001,5
14,1,15,14,-6547.26,-29.0723,0.00103208,1.69524,5
15,1,17,15,-6549.73,-29.734,0.0,1.77157,5
16,1,18,16,-6548.96,-29.8798,0.000260394,2.11338,5
17,1,20,17,-6549.5,-29.5186,0.000344026,1.93113,5
0,1,0,0,-6515.41,-29.6612,0.00026099,1.9143299999999999,30
1,1,1,1,-6513.21,-29.3178,0.00034481400000000004,1.63,30
2,1,2,2,-6514.69,-29.6358,0.0,1.78657,30
3,1,3,3,-6516.26,-29.6221,0.00026905099999999997,1.63371,30
4,1,5,4,-6511.17,-29.5614,0.00034481400000000004,1.74843,30
5,1,6,5,-6514.09,-29.5509,0.0008667939999999999,1.8577599999999999,30
6,1,7,6,-6523.99,-30.0465,0.00047605900000000003,1.91405,30
7,1,8,7,-6525.77,-30.4155,0.00047605900000000003,2.00712,30
8,1,9,8,-6527.63,-30.0491,0.0,1.94707,30
9,1,10,9,-6531.74,-30.0828,0.0,1.62477,30
10,1,11,10,-6533.46,-29.6743,0.0,1.57449,30
11,1,12,11,-6534.08,-29.9425,0.0,1.6791599999999998,30
12,1,13,12,-6534.95,-29.4257,0.0,1.69459,30
13,1,15,13,-6532.56,-29.4749,0.0,1.8044099999999998,30
14,1,17,14,-6540.79,-29.5567,0.0,1.62916,30
0,1,0,0,-6517.44,-29.1626,0.0,1.79938,28
1,1,1,1,-6517.98,-29.8569,0.000262612,1.98006,28
2,1,5,2,-6518.75,-29.7828,0.0,1.7614299999999998,28
3,1,6,3,-6519.04,-29.6413,0.0,1.90045,28
4,1,7,4,-6517.36,-29.2332,0.0,1.78033,28
5,1,8,5,-6516.87,-29.188000000000002,0.0,1.75458,28
6,1,9,6,-6516.27,-29.0176,0.00034695699999999995,1.62501,28
7,1,10,7,-6516.7,-29.0878,0.0,1.80794,28
8,1,11,8,-6519.69,-29.3364,0.0,2.03182,28
9,1,12,9,-6514.43,-28.9551,0.0,1.87038,28
10,1,13,10,-6522.66,-29.5619,0.0,1.9634599999999998,28
11,1,14,11,-6525.04,-29.7505,0.0,1.99797,28
12,1,15,12,-6524.88,-29.7258,0.00157567,2.20034,28
