,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
5,1,13,5,-6538.59,-31.278000000000002,0.00282723,1.3120100000000001,30
6,1,15,6,-6538.58,-31.9374,0.00284272,1.37627,30
7,1,16,7,-6537.18,-32.0583,0.00446904,1.49819,30
8,1,18,8,-6539.21,-32.5001,0.004044300000000001,1.5044799999999998,30
0,1,0,0,-6533.37,-28.6526,0.00709099,1.0014,28
1,1,1,1,-6537.18,-30.9095,0.00310311,1.1747100000000001,28
2,1,2,2,-6536.38,-31.1445,0.00336235,1.09323,28
3,1,5,3,-6537.38,-32.0596,0.00362935,1.21184,28
4,1,6,4,-6536.84,-31.5887,0.00388859,1.31913,28
5,1,7,5,-6535.54,-30.6416,0.00466631,1.19451,28
6,1,8,6,-6538.41,-32.1296,0.00207392,1.3046,28
7,1,9,7,-6541.19,-32.2068,0.0025924,1.25011,28
8,1,10,8,-6541.36,-32.5996,0.00285164,1.3413,28
9,1,12,9,-6541.71,-31.5635,0.00362159,1.3918700000000002,28
10,1,13,10,-6543.52,-31.5113,0.00285164,1.41252,28
11,1,14,11,-6543.44,-31.2932,0.00336235,1.30298,28
12,1,17,12,-6543.48,-32.0329,0.00531389,1.44731,28
13,1,18,13,-6542.57,-31.7488,0.00307981,1.3136700000000001,28
14,1,20,14,-6540.73,-32.1086,0.00285164,1.3766,28
0,1,0,0,-6533.86,-32.1881,0.00283125,1.41911,2
1,1,1,1,-6533.04,-32.6374,0.0018017,1.52614,2
2,1,2,2,-6535.5,-32.6531,0.0018017,1.4645,2
3,1,3,3,-6533.75,-31.9945,0.00128693,1.25443,2
4,1,5,4,-6535.44,-31.8183,0.00154432,1.2395,2
5,1,6,5,-6534.75,-32.3334,0.00128693,1.3451899999999999,2
6,1,7,6,-6533.0,-31.8006,0.00128693,1.2523799999999998,2
7,1,8,7,-6533.9,-31.3683,0.00128693,1.25211,2
8,1,9,8,-6534.13,-31.7934,0.0018017,1.45686,2
9,1,10,9,-6535.49,-31.906,0.00231648,1.60256,2
10,1,11,10,-6535.8,-32.1158,0.00231648,1.73731,2
11,1,12,11,-6535.51,-31.6324,0.00205909,1.60655,2
12,1,13,12,-6535.71,-31.0675,0.00128693,1.2852299999999999,2
13,1,14,13,-6536.74,-31.0593,0.0018017,1.23712,2
14,1,15,14,-6537.5,-31.2389,0.00231648,1.4209399999999999,2
15,1,17,15,-6537.89,-30.5483,0.00257386,1.19382,2
0,1,0,0,-6537.01,-32.1807,0.00154896,1.3866,12
1,1,3,1,-6537.09,-32.062,0.00258161,1.4530100000000001,12
2,1,6,2,-6535.19,-31.1949,0.00180712,1.24824,12
3,1,7,3,-6534.19,-31.7106,0.00180712,1.48316,12
4,1,8,4,-6534.49,-31.1746,0.00206528,1.36166,12
5,1,9,5,-6537.06,-31.6979,0.00206528,1.4007100000000001,12
6,1,10,6,-6536.46,-31.9257,0.00154896,1.4169999999999998,12
7,1,11,7,-6535.44,-31.3605,0.00154896,1.44222,12
8,1,12,8,-6533.82,-31.4177,0.00206528,1.3645,12
9,1,13,9,-6533.77,-31.686999999999998,0.00258161,1.53496,12
10,1,14,10,-6533.89,-31.2631,0.00283977,1.34697,12
11,1,15,11,-6533.42,-31.1109,0.00232345,1.2723200000000001,12
12,1,17,12,-6531.75,-30.8823,0.00206528,1.40105,12
0,1,0,0,-6508.71,-28.8159,0.00361287,1.01973,6
1,1,1,1,-6524.6,-31.3004,0.0020645,1.22805,6
2,1,2,2,-6527.46,-32.1988,0.00180643,1.6229200000000001,6
3,1,3,3,-6537.73,-32.3322,0.00180643,1.4969700000000001,6
4,1,4,4,-6538.42,-32.2322,0.0007741860000000001,1.29919,6
5,1,5,5,-6541.38,-32.7133,0.00154837,1.56023,6
6,1,6,6,-6539.78,-32.4091,0.00154837,1.6942,6
7,1,10,7,-6539.1,-32.8787,0.00154837,1.6966599999999998,6
8,1,12,8,-6537.98,-32.3827,0.00154837,1.43672,6
9,1,13,9,-6536.9,-32.7084,0.00103225,1.56785,6
10,1,19,10,-6537.31,-32.7076,0.0007741860000000001,1.66835,6
0,1,0,0,-6529.43,-23.7225,0.0146041,1.8134299999999999,37
1,1,1,1,-6531.23,-24.0584,0.0159733,1.8501900000000002,37
2,1,2,2,-6527.09,-25.6439,0.0157748,1.9241099999999998,37
3,1,5,3,-6538.77,-24.0083,0.0150605,2.08535,37
4,1,6,4,-6542.65,-24.3398,0.0159733,1.9808400000000002,37
5,1,7,5,-6539.77,-23.6082,0.015516899999999998,1.96317,37
6,1,10,6,-6542.58,-24.5027,0.014147700000000001,2.00675,37
7,1,14,7,-6542.02,-24.7522,0.0153184,2.04027,37
8,1,17,8,-6541.4,-23.995,0.0146041,2.0649900000000003,37
9,1,18,9,-6541.28,-24.9037,0.0150605,1.85895,37
10,1,20,10,-6538.8,-26.055999999999997,0.014147700000000001,2.04678,37
0,1,0,0,-6510.12,-24.0037,0.00343846,0.75332,40
1,1,1,1,-6517.61,-23.7672,0.00369735,0.848037,40
2,1,5,2,-6516.89,-23.8424,0.00258889,1.15793,40
3,1,6,3,-6521.51,-30.4007,0.00258889,1.57608,40
4,1,7,4,-6521.55,-30.2545,0.00103556,1.5639299999999998,40
5,1,8,5,-6521.8,-30.2177,0.00103556,1.58395,40
6,1,19,6,-6521.06,-30.469,0.000517778,1.6595099999999998,40
7,1,20,7,-6520.4,-30.476,0.00181222,1.69776,40
0,1,0,0,-6536.8,-31.3244,0.00258049,1.21069,23
1,1,3,1,-6532.03,-31.9682,0.00361269,1.02968,23
2,1,5,2,-6532.55,-32.26,0.00361269,1.13399,23
3,1,7,3,-6534.76,-31.7259,0.00309659,1.1205399999999999,23
4,1,8,4,-6536.42,-31.4743,0.00412879,1.27806,23
5,1,9,5,-6539.96,-31.5344,0.00464489,1.39849,23
6,1,10,6,-6541.07,-31.6537,0.00464489,1.41946,23
7,1,11,7,-6541.27,-31.2246,0.00438684,1.4207299999999998,23
8,1,12,8,-6541.23,-31.7399,0.00412879,1.3648200000000001,23
9,1,14,9,-6539.12,-31.9303,0.00309659,1.24348,23
10,1,16,10,-6535.64,-32.5826,0.00361269,1.31245,23
11,1,17,11,-6536.98,-32.4912,0.00387074,1.37676,23
12,1,18,12,-6540.49,-32.4934,0.00309659,1.31017,23
13,1,19,13,-6539.87,-31.7737,0.00411333,1.3935,23
0,1,0,0,-6541.57,-31.9766,0.00282363,1.39913,47
1,1,2,1,-6543.81,-32.301,0.00179686,1.55679,47
2,1,4,2,-6539.93,-31.3605,0.00205355,1.31075,47
3,1,5,3,-6542.38,-32.0227,0.00179686,1.53835,47
4,1,6,4,-6543.15,-31.6294,0.00205355,1.3411,47
5,1,7,5,-6543.36,-30.9507,0.00256694,1.27372,47
6,1,8,6,-6543.35,-30.7414,0.00256694,1.13657,47
7,1,11,7,-6544.23,-31.4829,0.00308033,1.3910799999999999,47
8,1,12,8,-6542.36,-31.6003,0.00282363,1.51567,47
9,1,13,9,-6541.21,-31.4997,0.00282363,1.37636,47
10,1,14,10,-6540.13,-31.9102,0.00205355,1.5538399999999999,47
11,1,17,11,-6539.52,-31.7081,0.00179686,1.5903,47
12,1,18,12,-6540.13,-31.6352,0.00308033,1.39446,47
13,1,19,13,-6543.5,-30.7613,0.00256694,1.22899,47
14,1,20,14,-6543.52,-30.1024,0.00382734,1.11066,47
0,1,0,0,-6536.55,-30.9004,0.00511405,1.3536700000000002,33
1,1,1,1,-6536.24,-32.0771,0.00515878,1.47656,33
2,1,2,2,-6537.23,-31.4985,0.00263773,1.35249,33
3,1,3,3,-6537.33,-32.1827,0.00302246,1.33397,33
0,1,0,0,-6513.98,-24.4041,0.00409078,0.657998,42
1,1,1,1,-6512.19,-24.3368,0.00460714,0.7249369999999999,42
2,1,4,2,-6511.05,-25.1813,0.0051235,0.667074,42
3,1,5,3,-6513.93,-24.5024,0.00604344,0.747738,42
4,1,6,4,-6515.48,-24.3913,0.00545438,0.846182,42
5,1,8,5,-6512.27,-26.7606,0.0036145000000000005,1.46048,42
6,1,9,6,-6512.39,-28.8985,0.00309814,1.71383,42
7,1,10,7,-6512.09,-28.6151,0.00283997,1.7932099999999997,42
8,1,12,8,-6509.91,-28.4733,0.00335632,1.80548,42
9,1,13,9,-6518.87,-29.2844,0.0036145000000000005,1.78183,42
10,1,14,10,-6518.51,-28.9273,0.00335632,1.9007,42
11,1,15,11,-6522.66,-28.6817,0.00387268,1.68373,42
12,1,16,12,-6519.57,-28.0642,0.00490539,1.7514900000000002,42
13,1,17,13,-6518.98,-28.3021,0.00360677,1.8302,42
14,1,18,14,-6522.36,-28.7867,0.0036145000000000005,1.7639900000000002,42
15,1,19,15,-6527.69,-29.2542,0.000774536,1.6365100000000001,42
0,1,0,0,-6530.62,-31.8064,0.00179976,1.35436,4
1,1,1,1,-6530.64,-31.0364,0.00102843,1.25104,4
2,1,2,2,-6532.76,-30.5468,0.00179976,1.1908100000000001,4
3,1,3,3,-6528.68,-30.7356,0.0033424,1.2599799999999999,4
4,1,5,4,-6533.96,-30.2831,0.0030853,1.1705,4
5,1,6,5,-6534.47,-25.0941,0.00831081,0.690936,4
6,1,7,6,-6542.6,-25.8815,0.00581195,0.618125,4
7,1,8,7,-6539.53,-25.8636,0.00625237,0.5734560000000001,4
8,1,9,8,-6539.44,-25.8589,0.00540234,0.634053,4
9,1,11,9,-6538.88,-25.7898,0.0035841000000000002,0.761113,4
10,1,12,10,-6539.19,-26.088,0.00584276,0.571498,4
11,1,13,11,-6538.35,-29.0763,0.0033424,0.977232,4
12,1,14,12,-6548.6,-30.404,0.00205686,1.11196,4
